1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Washington,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Golden State
12:00.0,Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession),Jump ball: A. Sarr vs. K. PorziÅÄ£is (B. Carrington gains possession)
2:52.0,Defensive rebound by S. Cooper,,85-86,,
2:48.0,J. Champagnie misses 3-pt jump shot from 23 ft,,85-86,,
2:47.0,,,85-86,,Defensive rebound by O. Yurtseven
2:39.0,,,85-86,,Offensive foul by O. Yurtseven (drawn by S. Cooper)
2:39.0,,,85-86,,Turnover by O. Yurtseven (offensive foul)
2:39.0,L. Black enters the game for B. Carrington,,85-86,,
2:27.0,L. Black misses 2-pt jump shot from 14 ft,,85-86,,
2:25.0,,,85-86,,Defensive rebound by Team
2:14.0,,,85-89,+3,L. Cryer makes 3-pt jump shot from 27 ft (assist by B. Podziemski)
1:51.0,S. Cooper makes 2-pt jump shot from 11 ft,+2,87-89,,
1:43.0,,,87-89,,Turnover by B. Podziemski (bad pass; steal by L. Black)
1:37.0,W. Riley makes 3-pt jump shot from 26 ft (assist by S. Cooper),+3,90-89,,
1:24.0,,,90-92,+3,B. Podziemski makes 3-pt jump shot from 27 ft (assist by G. Santos)
1:01.0,A. Gill makes 2-pt hook shot from 5 ft (assist by S. Cooper),+2,92-92,,
0:51.0,,,92-92,,L. Cryer misses 3-pt jump shot from 26 ft
0:48.0,Defensive rebound by Team,,92-92,,
0:48.0,,,92-92,,G. Payton enters the game for B. Podziemski
