1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Sacramento,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Atlanta
12:00.0,Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession),Jump ball: M. Raynaud vs. J. Landale (N. Alexander-Walker gains possession)
3:55.0,D. Plowden misses 3-pt jump shot from 26 ft,,72-84,,
3:52.0,,,72-84,,Defensive rebound by N. Alexander-Walker
3:45.0,,,72-84,,J. Johnson misses 3-pt jump shot from 25 ft
3:41.0,Defensive rebound by N. Clifford,,72-84,,
3:27.0,K. Hayes misses 3-pt jump shot from 26 ft,,72-84,,
3:24.0,,,72-84,,Defensive rebound by J. Johnson
3:14.0,,,72-84,,Shooting foul by D. Cardwell (drawn by Z. Risacher)
3:14.0,,,72-84,,Z. Risacher misses free throw 1 of 2
3:14.0,,,72-84,,Offensive rebound by Team
3:14.0,,,72-84,,C. Kispert enters the game for N. Alexander-Walker
3:14.0,,,72-85,+1,Z. Risacher makes free throw 2 of 2
2:57.0,Turnover by N. Clifford (bad pass; steal by C. Kispert),,72-85,,
2:55.0,,,72-85,,Turnover by C. Kispert (bad pass; steal by D. Cardwell)
2:50.0,K. Hayes misses 3-pt jump shot from 26 ft,,72-85,,
2:48.0,,,72-85,,Defensive rebound by C. Kispert
2:37.0,,,72-85,,C. Kispert misses 2-pt hook shot from 6 ft
2:34.0,Defensive rebound by D. Cardwell,,72-85,,
2:31.0,D. Jeffries makes 2-pt layup from 2 ft,+2,74-85,,
2:31.0,Shooting foul by Z. Risacher (drawn by D. Jeffries),,74-85,,
2:31.0,Sacramento full timeout,,74-85,,
2:31.0,,,74-85,,C. McCollum enters the game for J. Johnson
2:31.0,D. Jeffries makes free throw 1 of 1,+1,75-85,,
2:17.0,,,75-85,,C. Koloko misses 2-pt layup from 4 ft
2:14.0,Defensive rebound by D. Cardwell,,75-85,,
2:08.0,N. Clifford misses 2-pt layup from 1 ft,,75-85,,
2:05.0,Offensive rebound by D. Jeffries,,75-85,,
2:03.0,D. Plowden misses 3-pt jump shot from 25 ft,,75-85,,
2:00.0,Offensive rebound by Team,,75-85,,
1:50.0,D. Cardwell misses 2-pt hook shot from 6 ft,,75-85,,
1:49.0,Offensive rebound by D. Cardwell,,75-85,,
1:47.0,N. Clifford misses 3-pt jump shot from 23 ft,,75-85,,
1:43.0,Offensive rebound by D. Plowden,,75-85,,
