1st Q,1st Q,1st Q,1st Q,1st Q,1st Q
Time,Chicago,Unnamed: 2_level_1,Score,Unnamed: 4_level_1,Memphis
12:00.0,Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession),Jump ball: M. Buzelis vs. O. Prosper (L. Miller gains possession)
8:54.0,,,66-69,,Offensive foul by O. Prosper (drawn by I. Okoro)
8:54.0,,,66-69,,Turnover by O. Prosper (offensive foul)
8:37.0,T. Jones misses 3-pt jump shot from 23 ft,,66-69,,
8:37.0,Offensive rebound by Team,,66-69,,
8:37.0,,,66-69,,Loose ball foul by O. Prosper (drawn by L. Olbrich)
8:29.0,T. Jones misses 2-pt jump shot from 3 ft,,66-69,,
8:29.0,,,66-69,,Defensive rebound by Team
8:17.0,,,66-69,,G. Jackson misses 2-pt layup from 3 ft
8:15.0,,,66-69,,Offensive rebound by G. Jackson
8:13.0,,,66-71,+2,G. Jackson makes 2-pt layup from 2 ft
8:02.0,T. Jones misses 3-pt jump shot from 23 ft,,66-71,,
8:02.0,,,66-71,,Defensive rebound by O. Prosper
7:44.0,,,66-71,,O. Prosper misses 3-pt jump shot from 25 ft
7:39.0,Defensive rebound by T. Jones,,66-71,,
7:31.0,M. Buzelis makes 3-pt jump shot from 25 ft (assist by T. Jones),+3,69-71,,
7:22.0,,,69-71,,C. Coward misses 3-pt jump shot from 26 ft
7:18.0,Defensive rebound by T. Jones,,69-71,,
7:13.0,Turnover by T. Jones (lost ball; steal by J. Small),,69-71,,
7:09.0,,,69-73,+2,O. Prosper makes 2-pt layup from 2 ft (assist by J. Small)
7:09.0,Chicago full timeout,,69-73,,
7:09.0,L. Miller enters the game for T. Jones,,69-73,,
7:09.0,C. Sexton enters the game for I. Okoro,,69-73,,
7:09.0,P. Williams enters the game for L. Olbrich,,69-73,,
7:09.0,,,69-73,,T. Burton enters the game for C. Coward
7:09.0,,,69-73,,W. Clayton enters the game for G. Jackson
7:09.0,,,69-73,,D. Jarreau enters the game for O. Prosper
7:09.0,,,69-73,,J. Mashack enters the game for J. Small
6:49.0,Shooting foul by R. Rupert (drawn by J. Giddey),,69-73,,
6:49.0,J. Giddey makes free throw 1 of 2,+1,70-73,,
6:49.0,J. Giddey makes free throw 2 of 2,+1,71-73,,
6:34.0,,,71-73,,W. Clayton misses 3-pt jump shot from 25 ft
6:31.0,,,71-73,,Offensive rebound by R. Rupert
6:29.0,,,71-75,+2,R. Rupert makes 2-pt layup from 2 ft
6:17.0,L. Miller misses 3-pt jump shot from 25 ft,,71-75,,
6:16.0,,,71-75,,Defensive rebound by Team
5:57.0,,,71-78,+3,R. Rupert makes 3-pt jump shot from 23 ft (assist by J. Mashack)
5:50.0,Turnover by J. Giddey (bad pass; steal by R. Rupert),,71-78,,
5:45.0,,,71-81,+3,R. Rupert makes 3-pt jump shot from 25 ft
5:39.0,Shooting foul by D. Jarreau (drawn by C. Sexton),,71-81,,
5:39.0,C. Sexton makes free throw 1 of 2,+1,72-81,,
5:39.0,R. Dillingham enters the game for J. Giddey,,72-81,,
5:39.0,C. Sexton makes free throw 2 of 2,+1,73-81,,
5:27.0,,,73-84,+3,T. Burton makes 3-pt jump shot from 25 ft (assist by W. Clayton)
5:13.0,L. Miller makes 2-pt dunk from 1 ft (assist by R. Dillingham),+2,75-84,,
4:56.0,,,75-84,,J. Mashack misses 2-pt jump shot from 7 ft
4:54.0,Defensive rebound by M. Buzelis,,75-84,,
4:42.0,Turnover by C. Sexton (bad pass; steal by W. Clayton),,75-84,,
4:40.0,,,75-84,,Turnover by J. Mashack (lost ball; steal by C. Sexton)
4:38.0,Shooting foul by T. Burton (drawn by L. Miller),,75-84,,
4:38.0,L. Miller makes free throw 1 of 2,+1,76-84,,
4:38.0,,,76-84,,A. Bal enters the game for R. Rupert
4:38.0,L. Miller makes free throw 2 of 2,+1,77-84,,
4:28.0,,,77-84,,Turnover by W. Clayton (out of bounds lost ball)
